instance_key,method,run_label,A,B,E_best,E_best_improved,chain_strength,engine,gap_F_imp_vs_exact,has_exact_ref,imp_E_qubo,imp_F_markowitz,imp_feasible,imp_penalty,imp_sum_z,improve_engine,n,num_reads,q,qpu_solver,raw_E_qubo,raw_F_markowitz,raw_feasible,raw_penalty,raw_sum_z,reason,runtime_s,solver_info,status,time_limit,used_embedding
"(30, 15, 0.5, 'synthetic_factor', 2032)",tabu,first,3.1373057176798631,15,-705.91896651115701,-705.91896651115633,,tabu,,False,-705.91896651115633,-0.0251800331880742,True,0,15,python.local_descent,30,,0.5,,-705.91896651115633,-0.0251800331880742,True,0,15,,8.001265287399292,,ok,,
"(30, 15, 0.8, 'synthetic_factor', 2033)",dwave_hybrid,first,4.1082120525962544,15,-924.26246268340537,-924.2624626834056,,dwave.Hybrid,,False,-924.2624626834056,0.0852491507520826,True,0,15,python.local_descent,30,,0.80000000000000004,,-924.2624626834056,0.0852491507520826,True,0,15,,13.150333166122437,"{'qpu_access_time': 532278, 'charge_time': 9983711, 'run_time': 9983711, 'problem_id': 'a356ee01-6b5e-4f09-9375-a3b9fc638ae4', 'problem_data_id': '4c377eae-acda-4ed9-b6e9-721f2f3196cd'}",ok,10,
"(30, 15, 0.8, 'synthetic_factor', 2033)",dwave_qpu,first,4.1082120525962544,15,-922.80179588082842,-922.80179588082842,12.904070028417101,dwave.QPU,,False,-922.80179588082842,1.5459159533289426,True,0,15,python.local_descent,30,3000,0.80000000000000004,Advantage_system4.1,-922.80179588082842,1.5459159533289426,True,0,15,,2.3755548000335693,"{'embedding_stats': {'mean_chain': 4.1, 'max_chain': 5, 'n_logical': 30}, 'timing': {'qpu_sampling_time': 378120.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 85.46, 'qpu_access_time': 393880.36, 'qpu_access_overhead_time': 9721.64, 'qpu_programming_time': 15760.36, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.5333333333333333}",ok,,FixedEmbeddingComposite(minorminer cached)
"(30, 15, 0.8, 'synthetic_factor', 2033)",exact,first,4.1082120525962544,15,,,,,,False,,,,,,,30,,0.80000000000000004,,,,,,,n=30 > max_n=20,,,skipped,,
"(30, 15, 0.8, 'synthetic_factor', 2033)",sa,second,4.1082120525962544,15,-924.25424602395242,-924.25424602394821,,neal.SA,,False,-924.25424602394821,0.093465810209685599,True,0,15,python.local_descent,30,,0.80000000000000004,,-924.25424602394821,0.093465810209685599,True,0,15,,127.47938513755798,,ok,,
"(30, 15, 0.8, 'synthetic_factor', 2033)",tabu,second,4.1082120525962544,15,-924.27310804881859,-924.27310804881961,,tabu,,False,-924.27310804881961,0.074603785338661494,True,0,15,python.local_descent,30,,0.80000000000000004,,-924.27310804881961,0.074603785338661494,True,0,15,,60.001382112503052,,ok,,
"(40, 20, 0.2, 'synthetic_factor', 2034)",dwave_hybrid,first,1.1024894310024351,20,-441.15979997145831,-441.15979997145848,,dwave.Hybrid,,False,-441.15979997145848,-0.1640275704841071,True,0,20,python.local_descent,40,,0.20000000000000001,,-441.15979997145848,-0.1640275704841071,True,0,20,,14.028323173522949,"{'qpu_access_time': 509128, 'charge_time': 9989369, 'run_time': 9989369, 'problem_id': '72545e16-c59a-4ef0-9e67-7aef6547cbba', 'problem_data_id': '666ec551-3249-40ab-8fb2-46d4606625f8'}",ok,10,
"(40, 20, 0.2, 'synthetic_factor', 2034)",dwave_qpu,first,1.1024894310024351,20,,,,,,False,,,,,,,40,,0.20000000000000001,,,,,,,n=40 > max_n=30,,,skipped,,
"(40, 20, 0.2, 'synthetic_factor', 2034)",exact,first,1.1024894310024351,20,,,,,,False,,,,,,,40,,0.20000000000000001,,,,,,,n=40 > max_n=20,,,skipped,,
"(40, 20, 0.2, 'synthetic_factor', 2034)",sa,second,1.1024894310024351,20,-441.17953234282732,-441.17953234282589,,neal.SA,,False,-441.17953234282589,-0.1837599418512284,True,0,20,python.local_descent,40,,0.20000000000000001,,-441.17953234282589,-0.1837599418512284,True,0,20,,189.99472999572757,,ok,,
